id,arcdiff,arcland
5802,1670012673,1670447618
5833,1670341025,1670444449
5834,1670351441,1670441921
5752,1669733420,1670439843
5806,1670232421,1670439171
5787,1669900043,1670438235
5786,1669899832,1670438230
5785,1669899717,1670438222
5836,1670373535,1670434874
5689,1668813806,1670427270
5801,1670009169,1670426885
5810,1670279065,1670424925
5808,1670240724,1670339923
5809,1670249857,1670339132
5715,1669252754,1670272887
5788,1669908308,1670265079
5778,1669840840,1670265076
5777,1669838049,1670265060
5789,1669912525,1670232616
5768,1669820532,1670232576
5800,1669978283,1670147153
5776,1669837445,1669971969
5775,1669836739,1669971962
5774,1669836547,1669971954
5773,1669834131,1669971948
5772,1669833795,1669971947
5771,1669833264,1669971945
5798,1669941015,1669965194
5797,1669938007,1669965193
5793,1669930107,1669954844
5794,1669932376,1669934215
5792,1669924270,1669925558
5713,1669224351,1669907226
5756,1669740742,1669891425
5781,1669854004,1669865091
5779,1669845671,1669852140
5539,1667591694,1669852047
5515,1667306750,1669851458
5446,1666292779,1669848497
5383,1666034994,1669848469
5373,1665802336,1669848433
5347,1665513786,1669848398
5739,1669650670,1669842225
5738,1669650471,1669842224
5737,1669650024,1669842224
5736,1669649969,1669842223
5685,1668800188,1669842223
5761,1669760882,1669835793
5765,1669781465,1669835429
5764,1669781442,1669835427
5763,1669781404,1669835425
5755,1669735267,1669835423
5754,1669735185,1669835421
5753,1669735161,1669835419
5762,1669778584,1669827396
5733,1669642931,1669820292
5766,1669807430,1669820148
5730,1669631022,1669819961
5729,1669630470,1669819959
5725,1669370002,1669818800
5728,1669628581,1669818717
5703,1669154067,1669818715
5767,1669811845,1669817352
5760,1669760796,1669761359
5759,1669756423,1669760072
5751,1669707809,1669754529
4948,1661363259,1669744072
5740,1669657726,1669743287
5742,1669658516,1669742511
5726,1669376457,1669731996
5722,1669306883,1669731990
5720,1669303637,1669731985
5719,1669303097,1669731979
5717,1669299085,1669731974
5674,1668786228,1669731968
5702,1669107798,1669727708
5701,1669107522,1669727706
5700,1669107183,1669727703
5694,1669020977,1669727701
5693,1669016772,1669727699
5716,1669282032,1669727696
5682,1668796556,1669727693
